Nombre,Dirección,Territorio,Descripción (sólo si es necesario),Coordenada,Categoría
Recambio lumínico en Eje Sta Rosa,Eje Santa Rosa,1,"Recambio lumínico Eje Sta Rosa, Ejecutado 2024 (Subdere)","[
          [
            -70.64174444147,
            -33.47770529795559
          ],
          [
            -70.64223577421056,
            -33.47769275241677
          ],
          [
            -70.64212046142447,
            -33.477960390179604
          ],
          [
            -70.64193495824698,
            -33.480820717132
          ],
          [
            -70.64154389749406,
            -33.4809043510023
          ],
          [
            -70.6417494550695,
            -33.47770111610951
          ],
          [
            -70.64224078781002,
            -33.47770529795559
          ]
           ]",SEGURIDAD
Iluminación en Edificio Vicuña Mackenna,Vicuña Mackenna 3557,1,"Iluminación en Edificio Vicuña Mackenna 3557, (Ejecutados 2024)","[
          [
            -70.62042765564527,
            -33.48398968790359
          ],
          [
            -70.62057528958643,
            -33.48401516361318
          ],
          [
            -70.62043783729585,
            -33.484291149988785
          ],
          [
            -70.62021893179643,
            -33.48457138140875
          ],
          [
            -70.61986242128572,
            -33.4849153005514
          ],
          [
            -70.61938938192961,
            -33.48538701936562
          ],
          [
            -70.61911172839433,
            -33.48576010424412
          ],
          [
            -70.61899346855546,
            -33.485901618778364
          ],
          [
            -70.61875694887706,
            -33.486377620512734
          ],
          [
            -70.61861812211014,
            -33.486682088718666
          ],
          [
            -70.61851528746683,
            -33.48699513237846
          ],
          [
            -70.61842787802122,
            -33.48692652016669
          ],
          [
            -70.61855127959186,
            -33.48654915202815
          ],
          [
            -70.61869524809208,
            -33.48625754824929
          ],
          [
            -70.61887520871664,
            -33.48592306035416
          ],
          [
            -70.61903974414494,
            -33.4856657610937
          ],
          [
            -70.61929168901887,
            -33.48536557765704
          ],
          [
            -70.61952306696472,
            -33.485103988384424
          ],
          [
            -70.61977501183934,
            -33.48485526342686
          ],
          [
            -70.6200063897852,
            -33.4846236912717
          ],
          [
            -70.6201812086779,
            -33.48441356044695
          ],
          [
            -70.62043829528436,
            -33.48398472044774
          ]
        ]",SEGURIDAD
Mejoramiento de Acera en Calle Pintor Cicarelli (en ejecución),"Calle Pintor Cicarelli, desde Estación Servicio Pte hacia el Ote.",1,"PAVIMENTACIÓN DE VEREDAS Y CALLES, SEGURIDAD VIAL Y PEATONAL
Proyecto de Mejoramiento de Aceras VII en ejecución: Calle Pintor Cicarelli, desde Estación Servicio Pte, 142,47 m. hacia el Ote","[
          [
            -70.63908190592615,
            -33.47704048321326
          ],
          [
            -70.63907654150725,
            -33.47713892212529
          ],
          [
            -70.64181775932288,
            -33.477223937459975
          ],
          [
            -70.64182848815985,
            -33.47713444763192
          ],
          [
            -70.6401386963557,
            -33.477071804697076
          ],
          [
            -70.63908727033505,
            -33.477044957582564
          ]
        ]",SEGURIDAD
Mejoramiento de Acera en Calle Vivaldi (en ejecución),"Calle Vivaldi, desde Pergolese hasta Chopin",1,"PAVIMENTACIÓN DE VEREDAS Y CALLES; SEGURIDAD VIAL Y PEATONAL
Proyecto de Mejoramiento de Aceras VII en ejecución: Calle Vivaldi, desde Pergolese hasta Chopin","[
          [
            -70.62348623980336,
            -33.47846695736771
          ],
          [
            -70.62347006608263,
            -33.47852316730987
          ],
          [
            -70.62403884193331,
            -33.47863109029685
          ],
          [
            -70.62405501565478,
            -33.478579377215546
          ],
          [
            -70.62348623980336,
            -33.47846695736771
          ]
        ]",SEGURIDAD
Mejoramiento de Acera en Calle Isabel Riquelme (en ejecución),"Calle Isabel Riquelme, desde Santa Rosa hacia el oriente",1,"PAVIMENTACIÓN DE VEREDAS Y CALLES; SEGURIDAD VIAL Y PEATONAL
Proyecto de Mejoramiento de Aceras VII en ejecución: Calle Isabel Riquelme, desde Santa Rosa hasta 97 m hacia el oriente","[
          [
            -70.64221029959494,
            -33.47769264356611
          ],
          [
            -70.64328050099152,
            -33.47768593186906
          ],
          [
            -70.64328050099152,
            -33.47761881487002
          ],
          [
            -70.64223980389362,
            -33.47762552657229
          ],
          [
            -70.64220493517647,
            -33.47769488079914
          ]
        ]",SEGURIDAD
Mejoramiento de Acera en Calle Nueva Macul (en ejecución),"Calle Nueva Macul, desde Fondo Poniente hasta Fondo Oriente",1,"PAVIMENTACIÓN DE VEREDAS Y CALLES; SEGURIDAD VIAL Y PEATONAL
Proyecto de Mejoramiento de Aceras VII en ejecución: Calle Nueva Macul, desde Fondo Poniente hasta Fondo Oriente","[
          [
            -70.63345395848815,
            -33.4819571956273
          ],
          [
            -70.63347809837123,
            -33.481999700940314
          ],
          [
            -70.6350203686687,
            -33.481541089877105
          ],
          [
            -70.63500695762268,
            -33.48150082147244
          ],
          [
            -70.63345395848815,
            -33.48195495850443
          ]
        ]",SEGURIDAD
Mejoramiento de Acera en Pje. San Gabriel (en ejecución),"Pje. San Gabriel, desde Pintor Cicarelli hasta Guayacán",1,"PAVIMENTACION DE VEREDAS Y CALLES; SEGURIDAD VIAL Y PEATONAL
Proyecto de Mejoramiento de Aceras VII en ejecución: Pje. San Gabriel, desde Pintor Cicarelli hasta Guayacán","[
          [
            -70.63767592435863,
            -33.47725584658209
          ],
          [
            -70.63767055994016,
            -33.477314014895
          ],
          [
            -70.6383277011493,
            -33.47732072662083
          ],
          [
            -70.63838939195664,
            -33.47728045625794
          ],
          [
            -70.63841084962833,
            -33.47708581590415
          ],
          [
            -70.6383464766125,
            -33.47708581590415
          ],
          [
            -70.63833038335778,
            -33.47725137209447
          ],
          [
            -70.63830624347685,
            -33.47727598177157
          ],
          [
            -70.63767592435863,
            -33.47726032106818
          ]
        ]",SEGURIDAD
Mejoramiento de Acera en Pje. Aromos (en ejecución),"Pje. Aromos, desde Pje. Avellanos hasta Pje. Peumos",1,"PAVIMENTACION DE VEREDAS Y CALLES; SEGURIDAD VIAL Y PEATONAL
Proyecto de Mejoramiento de Aceras VII en ejecución: Pje. Aromos, desde Pje. Avellanos hasta Pje. Peumos","[
          [
            -70.64131937294466,
            -33.4782083351265
          ],
          [
            -70.64009628563396,
            -33.478558459186594
          ],
          [
            -70.64011774330639,
            -33.47860208476872
          ],
          [
            -70.64132876067663,
            -33.478255316712854
          ],
          [
            -70.64131129295596,
            -33.478207216520545
          ]
        ]",SEGURIDAD
Mejoramiento de Acera en Calle Ana (en ejecución),"Calle Ana, desde Isabel Riquelme hasta Nueva Macul",1,"PAVIMENTACION DE VEREDAS Y CALLES; SEGURIDAD VIAL Y PEATONAL
Proyecto de Mejoramiento de Aceras VII en ejecución: Calle Ana, desde Isabel Riquelme hasta Nueva Macul","[
          [
            -70.6338361894733,
            -33.47926630784705
          ],
          [
            -70.63389519807141,
            -33.479346846709326
          ],
          [
            -70.63479642030067,
            -33.48153926473635
          ],
          [
            -70.63471595403013,
            -33.48156611032729
          ],
          [
            -70.63384691830954,
            -33.479436334245634
          ],
          [
            -70.63378254529295,
            -33.47931552604962
          ],
          [
            -70.63384155389103,
            -33.47927078223061
          ]
        ]",SEGURIDAD
Mejoramiento de Acera en Calle Lira (en ejecución),"Calle Lira, desde Santa María hasta Isabel Riquelme",1,"PAVIMENTACION DE VEREDAS Y CALLES; SEGURIDAD VIAL Y PEATONAL
Proyecto de Mejoramiento de Aceras VII en ejecución: Calle Lira, desde Santa María hasta Isabel Riquelme","[
          [
            -70.63007666433688,
            -33.48112264183653
          ],
          [
            -70.63004164850544,
            -33.48097661385717
          ],
          [
            -70.63184496382847,
            -33.47370410908101
          ],
          [
            -70.63200253507024,
            -33.47376252520679
          ],
          [
            -70.63018171183181,
            -33.48094740823119
          ],
          [
            -70.63021672766324,
            -33.481093436260736
          ],
          [
            -70.63007666433688,
            -33.48113724462121
          ]
        ]",SEGURIDAD
Mejoramiento de Acera en Calle Rameau (en ejecución),"Calle Rameau, desde Gluck hasta Isabel Riquelme",1,"PAVIMENTACION DE VEREDAS Y CALLES; SEGURIDAD VIAL Y PEATONAL
Proyecto de Mejoramiento de Aceras VII en ejecución: Calle Rameau, desde Gluck hasta Isabel Riquelme","[
          [
            -70.62557921590641,
            -33.48412114925227
          ],
          [
            -70.6256757754309,
            -33.48410325272006
          ],
          [
            -70.62563286008677,
            -33.48393323548273
          ],
          [
            -70.62633023443006,
            -33.4813023998997
          ],
          [
            -70.6265018958074,
            -33.48096235409508
          ],
          [
            -70.62664137067604,
            -33.48036279639903
          ],
          [
            -70.62652335347907,
            -33.48035384774576
          ],
          [
            -70.62639460744663,
            -33.480917611126586
          ],
          [
            -70.62622294607004,
            -33.48124870854603
          ],
          [
            -70.62555775823397,
            -33.483736373000355
          ],
          [
            -70.62551484288983,
            -33.48394218376623
          ],
          [
            -70.62557921590641,
            -33.48413904578076
          ]
        ]",SEGURIDAD
